web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,date_of_establishment,phone2,facility_type,directions
"1790102564-1","https://hem.nha.gov.in/search","11.","HOSP27G26101134","Chandranagar TR","Vanai,","9284594537","BM, MG, SG, MN, ...Read More","NA","13-01-2026","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-2","https://hem.nha.gov.in/search","12.","HOSP23G25101202","PHC UNHEL","PHC UNHEL,","8225005724","ER, MG, SO, MP","01-05-1980","16-08-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-3","https://hem.nha.gov.in/search","13.","HOSP27G25101325","Kelwa Mahim","near Mahim fort , Mahim village ,","9881064293","MG","NA","30-12-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-4","https://hem.nha.gov.in/search","14.","HOSP30G25101417","Primary Health Centre Candolim","House No. 522,Vaddy Candolim Bardez Goa","9372170545","ER, MG","15-08-1972","21-02-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-5","https://hem.nha.gov.in/search","15.","HOSP23G25101487","PHC MOHANGARH","GOVERNMENT HOSPITAL MOHANGARH,","9752537177","MG","NA","08-08-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-6","https://hem.nha.gov.in/search","16.","HOSP23G25101745","chinour PHC","Chinour PHC,","8319168570","MG","NA","16-08-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-7","https://hem.nha.gov.in/search","17.","HOSP27G26101757","RH MANDRUP","MANDRUP SOUTH SOLAPUR,","7020870098","MG, SG, SO, SB","NA","31-01-2026","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-8","https://hem.nha.gov.in/search","18.","HOSP6G25101888","Poly Clinic Rohtak","sector 3 Near Jai Krishna International School,Sonepat Road","9812386086","ER, MG, MN, SO, ...Read More","01-03-2014","20-02-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-9","https://hem.nha.gov.in/search","19.","HOSP27G25102101","Runza TR","Runza ,","9764340349","MG","20-09-1984","30-12-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102564-10","https://hem.nha.gov.in/search","20.","HOSP23G25102179","PHC Berchha","PHC BERCHHA DISTRICT SHAJAPUR,","7999035034","MG","NA","08-08-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
