web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,date_of_establishment,phone2,facility_type,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda2,directions
"1790102578-1","https://hem.nha.gov.in/search","21.","HOSP27G26102194","Kathora Khurd","At Post Kathora khu,at post kathora bk tal bhusawal dist jagaon","8805358291","MG, SG, SO","NA","06-03-2026","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-2","https://hem.nha.gov.in/search","22.","HOSP27G26102305","Dahiphal Khandare","mantha,dahifal","9545189280","BM, ER, MG, SG, ...Read More","20-08-1984","13-01-2026","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-3","https://hem.nha.gov.in/search","23.","HOSP27G25102438","PHC Shioor","PHC Shioor, Behind Bus Stand, Shioor,","7745875163","MG","01-09-1998","29-12-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-4","https://hem.nha.gov.in/search","24.","HOSP6G25102607","PHC GHOGHRIAN","PHC GHOGHRIAN,","8708589823","ER, MG, SO, MP","01-01-1990","20-02-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-5","https://hem.nha.gov.in/search","25.","HOSP27G25102814","Phc Raniuncegaon","Raniunchegaon,","9403493852","MG","NA","31-12-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-6","https://hem.nha.gov.in/search","26.","HOSP27G25103192","PRIMARY HEALTH CENTRE","Khasgaon ,","7588343340","MG","08-10-2018","31-12-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-7","https://hem.nha.gov.in/search","27.","HOSP7G25103315","Rajiv Gandhi Super Speciality Hospital","Rajiv Gandhi Super Specialty Hospital, Tahirpur, Delhi,","9810228857","MC, SV, MG, SG, ...Read More","20-09-2013","12-05-2025","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-8","https://hem.nha.gov.in/search","28.","HOSP23G25103398","PHC BADAWADA","BADAWADA,","9074356554","MG, SO","NA","28-07-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-9","https://hem.nha.gov.in/search","29.","HOSP27G25103477","phc Astagaon","PHC Astagaon,","9860080472","MG","NA","29-12-2025","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102578-10","https://hem.nha.gov.in/search","30.","HOSP27G25103541","Rural Hospital Patan","Rural Hospital Patan,","8956751830","MG, SG, SO, SB, ...Read More","NA","30-12-2025","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
