web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,date_of_establishment,phone2,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,facility_type,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda2,directions
"1790102594-1","https://hem.nha.gov.in/search","1.","HOSP27P26277430","Relief Hospitals","Aster Building Nine Star Grandeur Char Rasta Manor Road Palghar,","9181999999","01-03-2021","07-01-2026","BM, MC, SV, ER, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-2","https://hem.nha.gov.in/search","2.","HOSP12P2515874","NIBA HOSPITAL","Papu Nallah, Naharlagun,","7628878332","21-12-1999","03-04-2025","MG, SG, SO, SE, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-3","https://hem.nha.gov.in/search","3.","HOSP22P2524503","OM HOSPITAL","PRATAPDEV WARD NO 11, INFRONT OF HATHA GROUND,JAGADALPUR,BASTAR,","9827162333","17-09-2024","01-05-2025","BM, MG, SG, MN, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-4","https://hem.nha.gov.in/search","4.","HOSP6P2525796","H S MEMORIAL HOSPITAL","ASSANDH ROAD PANIPAT,","9992839999","02-05-2024","05-09-2025","SG, MN, SB, MP","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-5","https://hem.nha.gov.in/search","5.","HOSP21P110099","NEW LIFE HOSPITAL UNIT II","RADHARANI PARA,","9437033806","01-04-1924","28-01-2025","SE","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-6","https://hem.nha.gov.in/search","6.","HOSP21P110106","MAA TARINI MEDICAL SERVICE POLY CLINIC","NAKHARA,","7978931223","29-10-2024","28-01-2025","MG, SG","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-7","https://hem.nha.gov.in/search","7.","HOSP21P110109","ALL IS WELL HOSPITAL","omp square ,","7978580730","29-10-2024","28-01-2025","","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-8","https://hem.nha.gov.in/search","8.","HOSP21P110110","MEERA HOSPITAL","Chunabhatilane,omp sqr","9438512226","29-10-2024","28-01-2025","","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-9","https://hem.nha.gov.in/search","9.","HOSP21P110112","RX HEALTH CARE","PLOT NO-921,KHATA NO-501,UNIT NO-35,JHANJIRIMANGALA,GROUN &FIRST FLOOR,AT-RAJABAGICHA,PO-TELENGABAZAR-PS-BADAMBADI,CUTTACK","7735198998","03-05-2023","28-01-2025","MG, SG, SO, MP","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102594-10","https://hem.nha.gov.in/search","10.","HOSP21P110114","AR-HOSPITAL","AT/PO-BHAIRPUR","9437268742","29-10-2024","28-01-2025","MG, SG, SO, SL, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
