web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,date_of_establishment,facility_type,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda2,phone2,directions
"1790102661-1","https://hem.nha.gov.in/search","1.","HOSP3G59614","SDH DASUYA","civil hospital hoshiarpur road dasuya,Civil Hospital Hoshiarpur Road Dasuya","9915091255","01-06-1974","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-2","https://hem.nha.gov.in/search","2.","HOSP3G61862","CHC Mahilpur","Mahilpur W.NO. 4,Near Police Station","9417305719","01-06-1994","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-3","https://hem.nha.gov.in/search","3.","HOSP3G81040","SDH MUKERIAN","Civil Hospital Mukerian","8968837551","01-01-1995","Hospital","BM, SV, ER, MG, ...Read More","...Read More","31-05-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-4","https://hem.nha.gov.in/search","4.","HOSP3G81353","DH Hoshiarpur","Mohalla Kamlapur Near Bus standa, Civil hospital, Distt. Hoshiarpur,NEAR BUS STAND","9815618178","01-06-1959","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-5","https://hem.nha.gov.in/search","5.","HOSP3G81391","CHC Tanda","Civil Hospital Tanda,Civil Hospital","9417146570","07-07-2001","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-6","https://hem.nha.gov.in/search","6.","HOSP3G88411","CHC MAND BHANDER","VILL. PANDHER ,NEAR PETROL PUMP MAKKOWAL ROAD DASUYA","9417286069","01-01-1979","Hospital","BM, SV, ER, MG, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-7","https://hem.nha.gov.in/search","7.","HOSP3G89881","CHC BUDHABAR","CHC Budhabar,near punjab national bank","9872334492","09-08-1981","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-8","https://hem.nha.gov.in/search","8.","HOSP3G89889","CHC Bhunga","Dasuya-Hoshiarpur Road,Bhunga,","9417757999","NA","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-9","https://hem.nha.gov.in/search","9.","HOSP3G90204","SDH GARHSHANKAR","ANANDPUR SAHIB ROAD, GARHSHANKAR","9815973938","01-11-1980","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102661-10","https://hem.nha.gov.in/search","10.","HOSP3G91678","CHC Hajipur","Mukerian,Hazipur,","9872432305","NA","Hospital","BM, MC, SV, ER, ...Read More","...Read More","01-06-2019","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
