web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,empanelment_year,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,date_of_establishment,facility_type,directions
"1790102544-1","https://hem.nha.gov.in/search","1.","HOSP23G25100014","Primary Health Center Baijagwada","Baijagwada,","9575412706","22-07-2025","MG","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-2","https://hem.nha.gov.in/search","2.","HOSP27G25100017","Nandgaon","Ap/Post Nandgaon Tal/Dist Satara,","8830521058","30-12-2025","ER, MG, SO","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-3","https://hem.nha.gov.in/search","3.","HOSP5G25100090","PHC Type A Pathlidhar","Government Health Center, Pathali Dhar, Rudraprayag,","9027919755","23-12-2025","MG","20-09-2025","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-4","https://hem.nha.gov.in/search","4.","HOSP27G26100294","Kadgaon Gadhinglaj","near primary school ,kadgaon ,near Primary School ,Kadgaon","9422509147","13-02-2026","ER, MG, SG, MN, ...Read More","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-5","https://hem.nha.gov.in/search","5.","HOSP23G25100351","phc bijuri","phc bijuri,","8982114463","31-07-2025","MG, SO","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-6","https://hem.nha.gov.in/search","6.","HOSP23G26100452","PHC RAMNAGAR","GRAM RAMNAGAR ,","9993675262","22-01-2026","MG","NA","Daycare Centre","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-7","https://hem.nha.gov.in/search","7.","HOSP23G25100718","CHC KARANJA","WARD NO 11 PARSODI POST KULPA TAH LANJI BALAGHAT,","9893208837","14-07-2025","MG, SO","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-8","https://hem.nha.gov.in/search","8.","HOSP5G25100844","PHC Type A Ghangarkhal","Government Health Center, Ghengarkhal, Jakholi, Rudraorayag,","6396198939","30-12-2025","MG","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-9","https://hem.nha.gov.in/search","9.","HOSP27G26101062","PHC Shibla","At.Po.Shibla Ta.Zarijamani Dist.Yavatmal,","9422924096","17-02-2026","MG","20-03-1982","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102544-10","https://hem.nha.gov.in/search","10.","HOSP27G26101106","Devle","devale,devale","8862069180","06-04-2026","MG","NA","Hospital","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
