hospital_id,name,city,state,pincode,address,latitude,longitude,specialties,procedures,cost_min,cost_max,currency,facilities,accreditation,pmjay_empanelled,annual_procedure_volume,outcome_metric,icu_beds,source_type,verification_status,source_url,last_verified,last_updated,data_status,condition_tag,review_status,phone,facility_type,date_of_establishment,success_rates
PBJAL-001,SHARANJIT HOSPITAL,Jalandhar,Punjab,990001,"Jalandhar, Punjab (street address not published in source)",31.295562,75.600242,"{Cardiology,Internal Medicine}","{ECG,Echocardiography,Consultation,Diagnostic Evaluation}",68000,165358,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{NABH-style demo},True,1497,Synthetic demo composite outcome: 97%,16,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,cardiac,pending,9814102598,Private,1972-04-06,"{""Cardiology"":93,""Internal Medicine"":99}"
PBJAL-002,A.N. NEURO CRITICAL CARE CENTRE & CMC HOSPITAL,Jalandhar,Punjab,990002,"Jalandhar, Punjab (street address not published in source)",31.320899,75.579300,"{Neurology,Neurosurgery}","{EEG,MRI Brain,Craniotomy,Spine Surgery}",71000,397069,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{ISO-style demo},True,1708,Synthetic demo composite outcome: 90%,7,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,neurological,pending,8194935820,Private,1979-07-11,"{""Neurology"":96,""Neurosurgery"":99}"
PBJAL-003,Aastha hospital,Jalandhar,Punjab,990003,"Jalandhar, Punjab (street address not published in source)",31.313070,75.563194,"{Orthopedics,Joint Replacement}","{Fracture Fixation,Arthroscopy,Total Knee Replacement,Total Hip Replacement}",74000,236085,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Quality-certified demo},True,1744,Synthetic demo composite outcome: 89%,11,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,orthopedic,pending,9814060816,Private,1986-10-16,"{""Orthopedics"":89,""Joint Replacement"":91}"
PBJAL-004,AIIMS SANJIVANI HOSPITAL,Jalandhar,Punjab,990004,"Jalandhar, Punjab (street address not published in source)",31.301702,75.560883,"{General Surgery,Laparoscopic Surgery}","{Appendectomy,Hernia Repair,Laparoscopic Cholecystectomy,Laparoscopic Hernia Repair}",77000,400555,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{Teaching hospital demo},True,312,Synthetic demo composite outcome: 96%,3,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,9417929827,Private,1993-01-21,"{""General Surgery"":99,""Laparoscopic Surgery"":93}"
PBJAL-005,AKAL EYE HOSPITAL,Jalandhar,Punjab,990005,"Jalandhar, Punjab (street address not published in source)",31.326972,75.581595,"{Gastroenterology,Hepatology}","{Endoscopy,Colonoscopy,Liver Function Assessment,FibroScan}",80000,233885,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{Not specified / demo},True,1406,Synthetic demo composite outcome: 95%,7,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,gastro,pending,9814940606,Private,2000-04-26,"{""Gastroenterology"":94,""Hepatology"":90}"
PBJAL-006,ALTIS MULTISPECIALITY HOSPITAL,Jalandhar,Punjab,990006,"Jalandhar, Punjab (street address not published in source)",31.357779,75.596905,"{Nephrology,Urology}","{Hemodialysis,Kidney Biopsy,TURP,Ureteroscopy}",83000,458153,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{NABH-style demo},True,192,Synthetic demo composite outcome: 92%,10,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,renal,pending,9877165904,Private,2007-07-04,"{""Nephrology"":94,""Urology"":96}"
PBJAL-007,AMAR HOSPITAL,Jalandhar,Punjab,990007,"Jalandhar, Punjab (street address not published in source)",31.336645,75.543235,"{Pulmonology,Critical Care}","{Bronchoscopy,Pulmonary Function Test,Ventilator Support,Sepsis Management}",86000,279027,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{ISO-style demo},True,1765,Synthetic demo composite outcome: 86%,12,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,respiratory,pending,9041632888,Private,2014-10-09,"{""Pulmonology"":92,""Critical Care"":87}"
PBJAL-008,ANKUR KIDS SUPERSPECIALITY HOSPITAL,Jalandhar,Punjab,990008,"Jalandhar, Punjab (street address not published in source)",31.315885,75.575706,"{Oncology,Radiation Oncology}","{Chemotherapy,Cancer Screening,Radiotherapy Planning,External Beam Radiotherapy}",89000,295009,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{Quality-certified demo},True,907,Synthetic demo composite outcome: 92%,18,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,oncology,pending,9872474073,Private,1965-01-14,"{""Oncology"":93,""Radiation Oncology"":97}"
PBJAL-009,Apex Hospital & Maternity Home,Jalandhar,Punjab,990009,"Jalandhar, Punjab (street address not published in source)",31.306350,75.607225,"{Obstetrics & Gynecology,Women’s Health}","{Normal Delivery,Cesarean Section,Antenatal Care,Gynecology Consultation}",92000,522124,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Teaching hospital demo},True,780,Synthetic demo composite outcome: 90%,6,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,women-health,pending,9779975244,Private,1972-04-19,"{""Obstetrics & Gynecology"":96,""Women’s Health"":96}"
PBJAL-010,ARMAAN HOSPITAL,Jalandhar,Punjab,990010,"Jalandhar, Punjab (street address not published in source)",31.308435,75.593532,"{Pediatrics,Neonatology}","{Pediatric Consultation,Vaccination,NICU Care,Newborn Screening}",95000,435539,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{Not specified / demo},True,1042,Synthetic demo composite outcome: 92%,13,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,pediatrics,pending,9465181167,Private,1979-07-24,"{""Pediatrics"":88,""Neonatology"":85}"
